code,parent_code,description,comment,level,cpc2_1_code,cpc2_1_description,mapping_type
chemical_inorganic,chemical,basic inorganic chemicals,,1,"342","Basic inorganic chemicals n.e.c.","one-to-one"
nitricacid,chemical,Nitric acid,,2,"34233","Nitric acid, sulphonitric acids",one-to-one
hydrogen,chemical_inorganic,hydrogen,,2,"34210","Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of nonmetals n.e.c.","many-to-one"
nitrogen,chemical_inorganic,nitrogen,,2,"34210","Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of nonmetals n.e.c.","many-to-one"
oxygen,chemical_inorganic,oxygen,,2,"34210","Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of nonmetals n.e.c.","many-to-one"
carbon_dioxide,chemical_inorganic,carbon_dioxide,,2,"34210","Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of nonmetals n.e.c.","many-to-one"
syngas,chemical_inorganic,synthesis gas,,2,"34210","Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of nonmetals n.e.c.","many-to-one"
sodium_hydroxide,chemical_inorganic,sodium hydroxide,,2,"34231","Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compounds of boron, silicon and carbon; halogen or sulphur compounds of non-metals; sodium hydroxide; hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides of strontium or barium; aluminium hydroxide; hydrozine and hydroxylamine and their inorganic salts","many-to-one"
aluminium_chloride,chemical_inorganic,aluminium chloride,,2,"34240","Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.","many-to-one"
sodium_dihydrogen_phosphate,chemical_inorganic,aluminium chloride,,2,"34240","Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.","many-to-one"
hydrogen_cyanide,chemical_inorganic,hydrogen cyanide,,2,"34270","Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perborates","many-to-one"
carbon_monoxide,chemical_inorganic,carbon monoxide,,2,"34210","Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.","many-to-one"
aluminium_oxide,chemical_inorganic,"Aluminium oxide",,2,"34231","Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compounds of boron, silicon and carbon; halogen or sulphur compounds of nonmetals; sodium hydroxide; hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides of strontium or barium; aluminium hydroxide; hydrozine and hydroxylamine and their inorganic salts","many-to-one"
zinc_oxide,chemical_inorganic,"Zinc oxide",,2,"34220","Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth colours; cobalt oxides and hydroxides; titanium oxides; lead oxides; red lead and orange lead; inorganic bases n.e.c.; metal oxides, hydroxides and peroxides n.e.c.,except of mercury","many-to-one"
indium,chemical_inorganic,"Indium",,2,"41602","Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, indium, niobium, rhenium and thallium, germanium and vanadium, wrought, and articles thereof; powders of magnesium","many-to-one"
cobalt,chemical_inorganic,"Cobalt",,2,"41602","Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, indium, niobium, rhenium and thallium, germanium and vanadium, wrought, and articles thereof; powders of magnesium","many-to-one"
molybdenum,chemical_inorganic,"Molybdenum",,2,"41602","Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, indium, niobium, rhenium and thallium, germanium and vanadium, wrought, and articles thereof; powders of magnesium","many-to-one"
trisodium_phosphate,chemical_inorganic,"Trisodium phosphate",,2,"34231","Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compounds of boron, silicon and carbon; halogen or sulphur compounds of nonmetals; sodium hydroxide; hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides of strontium or barium; aluminium hydroxide; hydrozine and hydroxylamine and their inorganic salts","many-to-one"
copper_oxide,chemical_inorganic,"Copper oxide",,2,"34231","Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compounds of boron, silicon and carbon; halogen or sulphur compounds of nonmetals; sodium hydroxide; hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides of strontium or barium; aluminium hydroxide; hydrozine and hydroxylamine and their inorganic salts","many-to-one"
chemical_tanning,chemical,tannines and their derivates,,1,"343","Tanning or dyeing extracts; tannins and their derivatives; colouring matter n.e.c..","one-to-one"
carbon_black,chemical_tanning,carbon black feedstock,,2,"34310","Synthetic organic colouring matter and preparations based thereon; synthetic organic products of a kind used as fluorescent brightening agents or as luminophores; colour lakes and preparations based thereon","many-to-one"
chemical_miscellaneous,chemical,miscellaneous basic chemical products,,1,"345","Miscellaneous basic chemical products","one-to-one"
charcoal,chemical_miscellaneous,charcoal,,2,"34510","Wood charcoal","one-to-one"
sulphur,chemical_miscellaneous,sulphur,,2,"34520","Sulphur","one-to-one"
pygas,chemical_miscellaneous,Pygas,,2,"34540","Oils and other products of the distillation of high temperature coal tar, and similar products; pitch and pitch coke, obtained from mineral tars",many-to-one
hpygas,chemical_miscellaneous,Hydrogenated pygas,,2,"34540","Oils and other products of the distillation of high temperature coal tar, and similar products; pitch and pitch coke, obtained from mineral tars",many-to-one
flue_gas,chemical_miscellaneous,Flue gas,,2,"34540","Oils and other products of the distillation of high temperature coal tar, and similar products; pitch and pitch coke, obtained from mineral tars",many-to-one
purge_gas,chemical_miscellaneous,Purge gas,,2,"34540","Oils and other products of the distillation of high temperature coal tar, and similar products; pitch and pitch coke, obtained from mineral tars",many-to-one
exhaust_gas,chemical_miscellaneous,Exhaust gas,,2,"34540","Oils and other products of the distillation of high temperature coal tar, and similar products; pitch and pitch coke, obtained from mineral tars",many-to-one
reformate,chemical,reformate,,2,"34540","Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents,fi_34540,fi_3454,""Oils and other products of the distillation of high temperature coal tar, and similar products; pitch and pitch coke, obtained from mineral tars",many-to-one
acetylene,chemical,Acetylene,,2,34110,"Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",many-to-one
hydrocarbon_mixture,chemical,Hydrocarbon mixture (c_n_h_m),,2,34110,"Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",many-to-one
glycerol,chemical_miscellaneous,glycerol,,2,"34570","Glycerol","one-to-one"
chemical_fertilizer,chemical,fertilizers and pesticides,,1,"346","Fertilizers and pesticides","one-to-one"
ammonia,chemical,Ammonia (anhydrous ammonia),,2,"34651","Ammonia, anhydrous",one-to-one
chemical_plastic,chemical,primary plastics,,1,"347","Plastics in primary forms","one-to-one"
hdpe,chemical,High-density polyethylene (HDPE),,2,34710,"Polymers of ethylene, in primary forms",many-to-one
eps,chemical,Expandable polystyrene (EPS),,2,34710,"Polymers of ethylene, in primary forms",many-to-one
ldpe,chemical,Low-density polyethylene (LDPE),,2,34710,"Polymers of ethylene, in primary forms",many-to-one
gpps,chemical,Polystyrene general purpose (GPSS),,2,34720,"Polymers of styrene, in primary forms",many-to-one
hips,chemical,High impact polystyrene (HIPS),,2,34720,"Polymers of styrene, in primary forms",many-to-one
pvc,chemical,Polyvinyl chloride (PVC),,2,34730,"Polymers of vinyl chloride or other halogenated olefins, in primary forms",many-to-one
pc,chemical,Polycarbonate (PC),,2,34740,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms",many-to-one
pet,chemical,Polyethylene terephthalate (PET),,2,34740,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms",many-to-one
pmma,chemical,Polymethyl methacrylate (PMMA),,2,34790,Other plastics in primary forms; ion exchangers,many-to-one
pa6,chemical,Polyamide 6 (Nylon 6) (P6),,2,34790,Other plastics in primary forms; ion exchangers,many-to-one
pa66,chemical,Polyamide 66 (P66),,2,34790,Other plastics in primary forms; ion exchangers,many-to-one
pb,chemical,Polybutylene (PB),,2,34790,Other plastics in primary forms; ion exchangers,many-to-one
pp,chemical,Polypropylene (PP),,2,34790,Other plastics in primary forms; ion exchangers,many-to-one
pu,chemical,Polyurethane (PU),,2,34790,Other plastics in primary forms; ion exchangers,many-to-one
pvac,chemical,Polyvinyl Acetate (PVAc),,2,34790,Other plastics in primary forms; ion exchangers,many-to-one
chemical_rubber,chemical,synthetic rubber,,1,"348","Synthetic rubber and factice derived from oils, and mixtures thereof with natural rubber and similar natural gums, in primary forms or in plates, sheets or strip","one-to-one"
hvc,petro_gas,high valued chemicals,,3,"3342","Ethylene, propylene, butylene, butadiene and other petroleum gases or gaseous hydrocarbons, except natural gas","one-to-one"
ethylene,hvc,ethylene,,4,"33421","Ethylene, propylene, butylene, butadiene","many-to-one"
propylene,hvc,propylene,,4,"33421","Ethylene, propylene, butylene, butadiene","many-to-one"
c4,chemical,C4 fraction (butadien; raffinate-1),,4,"33421","Ethylene, propylene, butylene, butadien",many-to-one
butadiene,petro_gas,butadiene,,2,"33421","Ethylene, propylene, butylene, butadiene","many-to-one"
butylene,petro_gas,butylene,,2,"33421","Ethylene, propylene, butylene, butadiene","many-to-one"
ethylene_dichloride,petro_gas,ethylene dichloride,,2,"33421","Ethylene, propylene, butylene, butadiene","many-to-one"
ethylene_glycol,petro_gas,ethylene glycol,,2,"33421","Ethylene, propylene, butylene, butadiene","many-to-one"
ethylene_oxide,petro_gas,ethylene oxide,,2,"33421","Ethylene, propylene, butylene, butadiene","many-to-one"
otherchemical,chemical,other chemical products,,1,"354","Chemical products n.e.c.","one-to-one"
biogasoline,otherchemical,biogasoline,,2,"35491","Biodiesel","many-to-one"
biodiesels,otherchemical,biodiesels,,2,"35491","Biodiesel","many-to-one"
fuel_grade_products_and_backflows,otherchemical,acrylonitrile,,2,"35499","Other chemical products n.e.c","many-to-one"
acrylonitrile,otherchemical,acrylonitrile,,2,"35499","Other chemical products n.e.c","many-to-one"
acetonitrile,otherchemical,acetonitrile,,2,"35499","Other chemical products n.e.c","many-to-one"
ammonia_sulphate,otherchemical,ammonia sulphate,,2,"35499","Other chemical products n.e.c","many-to-one"
methanol,otherchemical,methanol,,2,"35499","Other chemical products n.e.c","many-to-one"
vinyl_chloride_monomer,otherchemical,vinyl chloride monomer,,2,"35499","Other chemical products n.e.c","many-to-one"
other_liquid_biofuels,otherchemical,other liquid biofuels,,2,"35499","Other chemical products n.e.c.","many-to-one"
c5_c6,otherchemical,C5 and C6 group of chemicals,,2,"35499","Other chemical products n.e.c","many-to-one"
aromatics,hvc,aromatics,,4,"35499","Other chemical products n.e.c","many-to-one"
benzene,aromatics,benzene,,5,"35499","Other chemical products n.e.c","many-to-one"
toulene,aromatics,toulene,,5,"35499","Other chemical products n.e.c","many-to-one"
xylene,aromatics,xylene,,5,"35499","Other chemical products n.e.c","many-to-one"
c7_plus_non_aromatics,otherchemical,acrylonitrile,,2,"35499","Other chemical products n.e.c","many-to-one"
losses,otherchemical,"losses due to spills, leaks, or equipment malfunctions",,2,"35499","Other chemical products n.e.c","many-to-one"
ethyl_alcohol,otherchemical,ethyl alcohol or ethanol,,2,"35499","Other chemical products n.e.c","many-to-one"
ethane,petro_gas,ethane,,2,"33429","Other petroleum gases or gaseous hydrocarbons, except natural gas","many-to-one"
ethane_propane_after_recycle,petro_gas,ethane and propane after recycling,,2,"33429","Other petroleum gases or gaseous hydrocarbons, except natural gas","many-to-one"
pyrolysis_gasoline,petro_gas,pyrolysis gasoline,,2,"33429","Other petroleum gases or gaseous hydrocarbons, except natural gas","many-to-one"
lpg,petro_gas,liquefied petroluem gas (LPG),,2,"33429","Other petroleum gases or gaseous hydrocarbons, except natural gas","many-to-one"
gas_coke,petro_gas,gas coke,,2,"33429","Other petroleum gases or gaseous hydrocarbons, except natural gas","many-to-one"
gas_works_gas,petro_gas,gas works gas,,2,"33429","Other petroleum gases or gaseous hydrocarbons, except natural gas","many-to-one"
coke_oven_gas,petro_gas,coke oven gas,,2,"33429","Other petroleum gases or gaseous hydrocarbons, except natural gas","many-to-one"
blast_furnace_gas,petro_gas,blast furnace gas,,2,"33429","Other petroleum gases or gaseous hydrocarbons, except natural gas","many-to-one"
oxygen_steel_furnace_gas,petro_gas,oxygen steel furnace gas,,2,"33429","Other petroleum gases or gaseous hydrocarbons, except natural gas","many-to-one"
refinery_gas,petro_gas,refinery gas,,2,"33429","Other petroleum gases or gaseous hydrocarbons, except natural gas","many-to-one"
methane,petro_gas,methane,,2,"33429","Other petroleum gases or gaseous hydrocarbons, except natural gas","many-to-one"
petro_jelly,refined,petroleum jelly,,1,"335","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products; petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous materials","one-to-one"
bitumen,petro_jelly,bitumen,,2,"33500","Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products; petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous material","many-to-one"
paraffin_waxes,petro_jelly,paraffin waxes,,2,"33500","Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products; petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous materials","many-to-one"
petroleum_coke,petro_jelly,petroleum coke as reducing agent,,2,"33500","Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products; petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous materials","many-to-one"
reformate,petro_jelly,petroleum coke as reducing agent,,2,"33500","Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products; petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous materials","many-to-one"
material,,materials and constructions,,0,"37","Glass and glass products and other non-metallic products n.e.c.","one-to-one"
plaster_lime_cement,material,plaster lime and cement,,1,"374","Plaster, lime and cement","one-to-one"
cement,material,cement,,2,"37440","Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers","many-to-one"
portland,cement,"100 percent portland cement - 95-97 percent clinker",,3,"37440","Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers","many-to-one"
masonry,cement,"66.66 percent portland cement - 64 percent clinker",,3,"37440","Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers","many-to-one"
slagmod-portland,cement,"slag-modified portland - <25 perecent pc - >70-93 percent clinker",,3,"37440","Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers","many-to-one"
portland-bf-slag,cement,"<25 percent slag - 28-70 percent clinker",,3,"37440","Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers","many-to-one"
portland-pozzolan,cement,"15-40 percent pozzolan - 28-81 percent clinker",,3,"37440","Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers","many-to-one"
pozzolan-mod,cement,"<15 percent pozzolan - 28-95 percent clinker",,3,"37440","Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers","many-to-one"
slag-cement,cement,"70 percent slag - <28 percent clinker",,3,"37440","Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers","many-to-one"
waste,,waste product,,0,"39","Wastes or scraps","one-to-one"
msw,waste,municipal waste,,1,"39910","Municipal waste","one-to-one"
msw_biomass,msw,municipal wastes (biomass fraction),,2,"39910","Municipal waste","many-to-one"
msw_food,msw_biomass,food waste (municipal solid waste),,3,"39910","Municipal waste","many-to-one"
msw_garden,msw_biomass,garden and park waste (municipal solid waste),,3,"39910","Municipal waste","many-to-one"
msw_paper,msw_biomass,paper and cardboard waste (municipal solid waste),,3,"39910","Municipal waste","many-to-one"
msw_wood,msw_biomass,wood waste (municipal solid waste),,3,"39910","Municipal waste","many-to-one"
msw_nonbiomass,msw,municipal wastes (non-biomass fraction),,2,"39910","Municipal waste","many-to-one"
msw_textiles,msw_nonbiomass,textiles waste (municipal solid waste),,3,"39910","Municipal waste","many-to-one"
msw_nappies,msw_nonbiomass,nappies waste (municipal solid waste),,3,"39910","Municipal waste","many-to-one"
msw_rubber,msw_nonbiomass,rubber and lather waste (municipal solid waste),,3,"39910","Municipal waste","many-to-one"
msw_plastics,msw_nonbiomass,plastics waste (municipal solid waste),,3,"39910","Municipal waste","many-to-one"
msw_metal,msw_nonbiomass,metal waste (municipal solid waste),,3,"39910","Municipal waste","many-to-one"
msw_glass,msw_nonbiomass,glass waste (municipal solid waste),,3,"39910","Municipal waste","many-to-one"
msw_other,msw_nonbiomass,other inert waste (municipal solid waste),,3,"39910","Municipal waste","many-to-one"
isw,,industrial waste,,1,"39","Wastes or scraps","one-to-many"
slag,,slag,,0,"393","Metal wastes or scraps","one-to-one"
slag_iron_steel,slag,"Slag, dross, scalings and other waste from the manufacture of iron or steel",,1,"393","Metal wastes or scraps","many-to-one"
isw_food,isw,"Food, beverages and tobacco (industry waste)",,2,"391","Wastes from food and tobacco industry","one-to-one"
sugarcane_bagasse,isw_food,sugarcane bagasse,,3,"39141","Bagasse","one-to_one"
agricultural_residues,waste,"agricultural residues (straw, husks, etc.)",,1,"391","Wastes from food and tobacco industry","one-to-one"
straw,agricultural_residues,rice straw,,2,"391","Wastes from food and tobacco industry","one-to-one"
rice_straw,straw,rice straw,,3,"391","Wastes from food and tobacco industry","one-to-one"
isw_textile,isw,Textile (industry waste),,2,"392","Non-metal wastes or scraps","one-to-many"
isw_wood,isw,Wood and wood products (industry waste),,2,"3928","Sawdust and wood waste and scrap","one-to-one"
isw_paper,isw,Pulp and paper (industry waste),,2,"39","Wastes or scraps","one-to-many"
black_liquor,isw_paper,sulphite lyes (black liquor),,1,"39950","Wastes from chemical or allied industries","many-to-one"
isw_petroleum,isw,"Petroleum products, Solvents, Plastics (industry waste)",,2,"39950","Wastes from chemical or allied industries","one-to-one"
isw_rubber,isw,Rubber (industry waste),,2,"392","Non-metal wastes or scraps","many-to-many"
isw_construction,isw,Construction and demolition (industry waste),,2,"39","Wastes and scraps","many-to-many"
isw_metal,isw,Metal waste,,2,"393","Metal wastes or scrap","one-to-one"
steel_scrap,isw_metal,steel scrap,,3,"39350","Remelting scrap ingots of iron or steel","one-to-one"
gangue,isw_metal,gangue,,3,"393","Metal wastes or scraps","one-to-many"
isw_other,isw,Other industries also for manufacturing (industry waste),,2,"393","Metal wastes or scraps","many-to-many"
ow_hazard,waste,Hazardous waste (other waste),,1,"399","Other wastes and scraps","one-to-many"
ow_clinical,waste,Clinical waste (other waste),,1,"3993","Clinical waste, including pharmaceutical waste","one-to-one"
spent_catalyst,isw_other,spent catalyst,,2,"393","Other industries also for manufacturing (industry waste)","many-to-one"
slag,waste,slag,,1,"39","Wastes or scraps","one-to-many"
ash,waste,ash,,1,"39","Wastes or scraps","one-to-many"
effluents,waste,effluents,,1,"39","Wastes or scraps","one-to-many"
radioaw,waste,radioactive waste,,1,"39","Wastes or scraps","one-to-many"
low_radioaw,radioaw,low level radioactive waste,,2,"39","Wastes or scraps","one-to-many"
mod_radioaw,radioaw,moderate level radioactive waste,,2,"39","Wastes or scraps","one-to-many"
high_radioaw,radioaw,high level radioactive waste,,2,"39","Wastes or scraps","one-to-many"
sludge,waste,sludge,,1,"39920","Sewage sludge","one-to-one"
sw_sludge,sludge,solid waste sludge,,2,"39920","Sewage sludge","many-to-one"
sludge_dom,sludge,domestic sludge waste,,2,"39920","Sewage sludge","many-to-one"
sludge_ind,sludge,industrial sludge waste,,2,"39920","Sewage sludge","many-to-one"
wastewater,,wastewater,,0,"39990","Other wastes n.e.c.","many-to-one"
deionized_water,wastewater,deionized water,,1,"39990","Other wastes n.e.c.","many-to-one"
dissolved_solids,wastewater,dissolved solids,,1,"39990","Other wastes n.e.c.","many-to-one"
ww_domestic,wastemater,domestic wastewater,,1,"39990","Other wastes n.e.c.","many-to-one"
ww_industry,wastemater,industrial wastewater,,1,"39990","Other wastes n.e.c.","many-to-one"
ww_alcref,ww_industry,industrial wastewater alcohol refining,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_beer,ww_industry,industrial wastewater beer and malt,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_coffee,ww_industry,industrial wastewater coffee production,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_dairy,ww_industry,industrial wastewater dairy products,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_fish,ww_industry,industrial wastewater fish processing,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_meat,ww_industry,industrial wastewater meat and poultry,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_orgchem,ww_industry,industrial wastewater organic chemicals,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_petref,ww_industry,industrial wastewater petroleum refineries,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_plastics,ww_industry,industrial wastewater plastics and resins,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_pulp,ww_industry,industrial wastewater pulp and paper (combined),,2,"39990","Other wastes n.e.c.","many-to-one"
ww_soap,ww_industry,industrial wastewater soap and detergents,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_starch,ww_industry,industrial wastewater starch production,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_sugar,ww_industry,industrial wastewater sugar refining,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_vegoils,ww_industry,industrial wastewater vegetable oils,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_fruits,ww_industry,"industrial wastewater vegetables, fruits and juices",,2,"39990","Other wastes n.e.c.","many-to-one"
ww_wine,ww_industry,industrial wastewater wine and vinegar,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_iron,ww_industry,industrial wastewater iron and steel manufacturing,,2,"39990","Other wastes n.e.c.","many-to-one"
ww_nfertil,ww_industry,industrial wastewater nitrogen fertiliser,,2,"39990","Other wastes n.e.c.","many-to-one"
metal,,metal product,,0,"41","Basic metals","one-to-one"
iron_steel,metal,iron and steel,,1,"411","Basic iron and steel","one-to-one"
hot_briquetted_iron,iron_steel,hot briquetted iron,,2,"41111","Pig iron and spiegeleisen in pigs, blocks or other primary forms","many-to-one"
pig_iron,iron_steel,purchased pig iron,,2,"41111","Pig iron and spiegeleisen in pigs, blocks or other primary forms","many-to-one"
scrap_iron,isw_metal,iron based on scrap,,1,"41111","Pig iron and spiegeleisen in pigs, blocks or other primary forms","many-to-one"
sinter_ore,isw_metal,sinter ore used for iron steel production,,1,"41111","Pig iron and spiegeleisen in pigs, blocks or other primary forms","many-to-one"
ferromanganese_7perc_c,iron_steel,Ferromanganeses (7% C),,2,"41112","Ferro-manganese","many-to-one"
ferromanganese_1perc_c,iron_steel,Ferromanganeses (1% C),,2,"41112","Ferro-manganese","many-to-one"
siliconmanganese,iron_steel,Silicomanganese,,2,"41112","Ferro-manganese","many-to-one"
ferrochromium,iron_steel,Ferrochromium,,2,"41113","Ferro-chromium","one-to-one"
ferrosilicon_45perc_si,iron_steel,Ferrosilicon 45% Si,,2,"41115","Other ferro-alloys","many-to-one"
ferrosilicon_65perc_si,iron_steel,Ferrosilicon 65 % Si,,2,"41115","Other ferro-alloys","many-to-one"
ferrosilicon_75perc_si,iron_steel,Ferrosillicon 75% Si,,2,"41115","Other ferro-alloys","many-to-one"
ferrosilicon_90perc_si,iron_steel,Ferrosillicon 90% Si,,2,"41115","Other ferro-alloys","many-to-one"
silicon_metal,iron_steel,Silicon metal,,2,"41115","Other ferro-alloys","many-to-one"
dri,iron_steel,direct reduced iron (gas-based),,2,"41116","Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99.94%, in lumps, pellets or similar forms","many-to-one"
dri_gas,dri,direct reduced iron (gas-based),,3,"41116","Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99.94%, in lumps, pellets or similar forms","many-to-one"
dri_coal,dri,direct reduced coal (coal-based),,3,"41116","Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99.94%, in lumps, pellets or similar forms","many-to-one"
ironpellet,dri,direct reduced coal (coal-based),,3,"41116","Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99.94%, in lumps, pellets or similar forms","many-to-one"
steel,iron_steel,steel,,2,"41122","Alloy steel in ingots or other primary forms and semi-finished products of alloy steel","one-to-one"
aluminium,metal,aluminium,,1,"4143","Aluminium, unwrought; alumina","one-to-one"
magnesium,metal,magnesium,,1,"4160","Other non-ferrous metals and articles thereof (including waste and scrap of some metals); cermets and articles thereof","many-to-one"
lead,metal,lead,,1,"41441","Lead, unwrought","one-to-one"
zinc,metal,lead,,1,"41442","Zinc, unwrought","one-to-one"
nickel,metal,lead,,1,"41422","Nickel, unwrought","one-to-one"
electrical_machinery,,electrical machinery,,0,"46","Electrical machinery and apparatus","one-to-one"
eaf_carb_electrode,electrical_machinery,carbon electrodes to electric arc furnace (EAF),,1,"46950","Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbon of a kind used for electrical purposes","one-to-many"
biomass,agforfi,biomass,,1,"01","Products of agriculture, horticulture and market gardening","many-to-one"
dry_biomass,biomass,dry biomass,,2,"01","Products of agriculture, horticulture and market gardening","many-to-one"
wet_biomass,biomass,wet biomass,,2,"01","Products of agriculture, horticulture and market gardening","many-to-one"
gasified_biomass,biomass,gasified biomass products,,2,"17200","Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons","many-to-one"
forest_residues,biomass,forestry residues,,2,,,
lipid_rich_biomass,biomass,lipid-rich biomass,,2,,,
carbonaceous_biomass,biomass,carbonaceous biomass,,2,,,
other_prim_solid_biomass,biomass,other primary solid biomass,,2,,,
to_be_changed,,,,0,,,
cb_natural_gas,to_be_changed,carbon black and natural gas,,1,,,
undefined,to_be_changed,can be chosen if no data is available - default for tier 3 (emissions from carbon-bearing non-fule materials are set to 0),,1,,,
refinery_feedstocks,to_be_changed,refinery feedstocks,,1,,,
