management_practice,climate_zone,moisture_regime,property,value,unit
high-degraded_grasland,temperate-warm,wet,abs_max,inf,kg/kg
high-degraded_grasland,temperate-warm,dry,abs_max,inf,kg/kg
high-degraded_grasland,temperate-warm,moist,abs_max,inf,kg/kg
high-degraded_grasland,temperate-cool,wet,abs_max,inf,kg/kg
high-degraded_grasland,temperate-cool,dry,abs_max,inf,kg/kg
high-degraded_grasland,temperate-cool,moist,abs_max,inf,kg/kg
high-degraded_grasland,temperate,wet,abs_max,inf,kg/kg
high-degraded_grasland,temperate,dry,abs_max,inf,kg/kg
high-degraded_grasland,temperate,moist,abs_max,inf,kg/kg
improved_grasland,temperate,wet,abs_max,inf,kg/kg
improved_grasland,temperate,dry,abs_max,inf,kg/kg
improved_grasland,temperate,moist,abs_max,inf,kg/kg
improved_grasland,boreal,wet,abs_max,inf,kg/kg
improved_grasland,boreal,dry,abs_max,inf,kg/kg
improved_grasland,boreal,moist,abs_max,inf,kg/kg
improved_grasland,tropical,wet,abs_max,inf,kg/kg
improved_grasland,tropical,dry,abs_max,inf,kg/kg
improved_grasland,tropical,moist,abs_max,inf,kg/kg
improved_grasland,tropical-montane,undefined,abs_max,inf,kg/kg
